<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13920118,404.53,409,396,401.59,6360893
13920119,402.99,412,402,406.83,7456795
13920120,409.39,416,404,409.01,8945590
13920121,405.55,409,397,404.02,13969614
13920124,400.43,400,388,391.61,9058930
13920126,390.2,399,388,393.65,5589352
13920127,393.65,403,390,394.55,10614576
13920128,396.72,398,375,381.5,17233273
13920131,375.23,380,362,363.08,22754360
13920201,362.05,375,348,358.22,17157669
13920202,373.57,376,371,375.36,3643051
13920203,394.04,394,394,394.04,1938036
13920204,413.74,414,402,409.77,24888312
13920207,406.7,413,395,404.14,11498710
13920208,402.86,409,388,397.24,10155293
13920209,396.98,417,394,410.54,18151195
13920210,415.79,417,399,406.45,12147998
13920211,400.95,416,400,406.06,13980451
13920214,426.02,426,423,426.15,6278007
13920215,447.39,447,421,439.33,38307852
13920216,432.42,438,418,425,11393304
13920217,422.18,425,406,409.65,7669669
13920218,405.68,414,397,401.33,5508634
13920221,403.12,420,403,413.23,6972564
13920222,433.7,434,409,424.49,20358306
13920223,413.23,421,403,406.57,5661495
13920224,396.6,399,388,391.86,5925334
13920225,399.15,407,377,390.58,7373832
13920228,377.53,379,371,371.78,3013217
13920229,365.89,390,360,376.51,6415123
13920230,383.67,393,371,384.95,3252070
13920402,369.73,374,354,364.87,35610538
13920404,370.37,373,357,363.97,5658818
13920405,371.01,382,366,377.15,6381171
13920408,387.64,396,377,393.27,10597412
13920409,402.99,413,397,409.9,13566788
13920410,419.62,420,398,408.24,11390534
13920411,396.6,397,389,392.25,7647885
13920412,395.32,407,386,393.27,11277203
13920415,397.75,412,393,404.66,12932596
13920416,410.03,417,385,395.7,23957185
13920417,387.64,391,384,386.62,8442685
13920418,386.11,389,374,380.48,8595293
13920419,383.8,394,374,383.55,6378788
13920422,374.85,383,366,368.71,6054589
13920426,360.9,375,356,364.48,9897304
13920505,377.53,414,378,404.78,21978740
13920506,397.11,418,396,410.67,14077819
13920507,416.94,431,416,429.35,13947447
13920509,450.71,451,451,450.71,13209957
13920512,473.23,473,454,472.08,94389546
13920513,470.8,486,461,476.43,28993559
13920514,473.36,489,462,476.55,13313812
13920515,478.86,500,474,497.79,64073713
13920516,509.05,523,506,515.96,52191631
13920520,530.93,542,527,535.92,19081563
13920521,521.97,531,510,517.24,24793423
13920522,513.14,516,498,503.42,16165177
13920523,497.66,528,495,519.92,17796565
13920526,534.76,545,512,525.55,13105539
13920527,515.83,516,499,501.76,11723596
13920528,503.04,518,496,505.72,9937091
13920529,507.9,508,489,494.47,4390453
13920530,497.02,515,493,507.77,10403039
13920602,515.57,527,512,516.47,10117120
13920603,519.41,525,504,512.25,4423134
13920604,505.34,509,489,496.77,8766775
13920605,493.83,504,472,482.57,10455124
13920606,458.52,465,459,459.54,28676781
13920609,473.36,482,467,480.01,12823461
13920610,493.83,504,490,503.42,19079693
13920612,516.85,528,507,517.49,24894777
13920613,491.65,492,492,491.65,3861215
13920616,472.08,485,470,474.25,9162236
13920617,486.15,498,486,495.87,7314689
13920618,514.17,515,483,498.18,7570988
13920619,511.48,523,511,520.18,8922187
13920620,546.15,546,530,541.16,29180365
13920623,537.32,539,516,524.66,8714444
13920624,525.94,535,513,521.84,8576641
13920625,511.99,532,512,525.68,8676463
13920626,531.57,540,521,527.22,10466342
13920627,533.49,540,525,532.72,7773170
13920630,538.73,541,520,524.53,46087959
13920631,516.85,517,502,509.31,7033758
13920701,515.45,531,511,518.65,6542002
13920702,507.77,518,505,509.18,5462597
13920703,511.74,514,505,508.92,9434099
13920706,523.12,523,503,509.82,9871349
13920707,505.21,512,499,503.68,9013650
13920708,504.19,525,501,514.81,12871542
13920709,523.25,535,509,524.91,14255300
13920710,528.37,532,516,522.23,7816860
13920713,512.38,527,512,517.88,5022256
13920714,518.13,519,511,514.94,8254225
13920715,511.74,514,504,508.79,5183173
13920716,504.32,515,504,506.75,4219098
