<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13940527,264.82,267,260,262.27,3671786
13940528,263.93,268,260,263.29,3683619
13940531,266.1,266,253,256.64,3293882
13940601,254.59,256,248,250.24,4127102
13940602,253.95,261,250,257.53,4043179
13940603,258.3,258,246,249.09,5460238
13940604,248.32,253,244,246.53,2668171
13940607,248.19,256,248,252.16,1907742
13940608,249.73,250,246,247.42,2281142
13940609,249.86,250,246,246.91,1181683
13940610,248.06,253,246,249.86,1683604
13940611,249.47,252,246,248.32,2268222
13940614,252.93,261,253,259.19,4557775
13940615,261.24,264,255,257.02,3225105
13940618,236.17,241,231,236.17,8344047
13940621,235.4,241,224,228.75,11738687
13940622,222.48,224,217,218.13,5310355
13940623,213.65,214,207,208.53,6677067
13940624,201.5,215,199,206.1,9156987
13940625,214.93,216,212,215.82,2071771
13940628,220.69,221,211,215.7,6746344
13940629,215.95,217,205,206.36,5315970
13940630,204.69,207,196,200.47,2764869
13940631,204.31,210,204,209.17,2053882
13940701,213.27,218,212,214.93,2316726
13940704,216.21,216,205,207.51,1875634
13940705,205.97,208,198,202.52,6197734
13940706,202.26,211,202,206.87,1886571
13940707,206.1,212,206,208.28,2415571
13940708,210.96,212,207,209.17,2453582
13940711,210.2,214,205,208.28,3829850
13940712,208.28,219,205,215.57,5449644
13940713,219.02,225,219,221.58,3878106
13940714,221.84,224,216,219.41,2857747
13940715,224.52,227,220,224.01,4702721
13940718,227.59,230,225,226.83,3277584
13940719,227.21,228,223,224.14,2668134
13940720,223.76,231,223,228.49,1561722
13940721,230.28,237,227,233.22,2220677
13940722,238.21,245,237,241.03,4567406
13940725,240.52,247,236,240.64,7156952
13940726,240.52,243,229,234.12,6969024
13940727,233.74,241,230,235.14,5199559
13940728,236.17,237,226,231.05,2600925
13940729,224.52,233,222,227.72,2099028
13940803,221.45,221,216,216.72,1622476
13940804,211.09,221,207,215.19,4661608
13940805,219.15,226,219,225.29,3868098
13940806,227.21,230,224,227.72,2344584
13940809,230.28,232,223,227.59,2270546
13940810,228.87,238,226,234.25,8291949
13940811,232.84,241,232,238.21,5255219
13940812,238.21,247,238,243.59,6966601
13940813,242.44,256,239,250.5,10045921
13940816,258.56,263,252,258.56,13516222
13940817,257.15,261,247,252.29,9130495
13940818,251.9,265,247,261.24,16086509
13940819,267.64,274,266,270.58,12622873
13940820,268.53,269,257,259.45,14836635
13940823,262.27,266,252,259.71,6149703
13940824,259.19,271,259,267.89,11372549
13940825,269.43,272,260,265.08,7783375
13940826,264.7,265,253,256.12,6604015
13940827,258.43,265,255,260.47,4140585
13940830,260.99,273,261,271.48,17138464
13940901,273.91,279,273,275.83,9402130
13940902,276.85,277,266,269.3,6462847
13940903,268.53,269,261,263.42,4397291
13940904,260.99,261,256,257.4,6029621
13940907,254.59,261,254,259.19,4435686
13940908,262.27,265,258,258.68,2989180
13940909,258.43,261,256,258.43,1614979
13940910,259.71,260,255,256.25,3614792
13940914,257.79,262,257,259.96,2727086
13940915,257.66,258,249,252.8,4399635
13940916,252.16,253,247,249.09,3886330
13940917,251.9,254,247,251.01,2453260
13940918,252.93,261,251,256.12,3814967
13940922,261.11,261,254,256.38,1997973
13940923,259.45,264,258,262.01,2452469
13940924,262.27,266,259,263.42,3020129
13940925,263.54,265,254,257.66,3003555
13940928,259.07,259,245,247.42,4323798
13940929,247.17,251,240,245.25,4085544
13940930,249.6,252,247,250.24,2256613
13941001,247.55,263,246,256.12,5347946
13941002,268.92,269,262,268.41,33012351
13941005,266.74,275,262,269.17,13208280
13941006,271.86,280,272,275.95,6628222
13941007,273.91,277,269,271.99,5719329
13941009,268.66,276,266,269.94,7406872
13941012,269.94,270,261,263.67,5065008
13941013,260.99,272,260,265.85,6746644
13941014,264.82,272,265,267.51,4185523
13941015,260.99,271,256,264.06,16260616
13941016,268.66,270,260,263.16,12114732
13941019,263.42,263,256,258.04,8813397
13941020,258.43,262,253,256.25,7500547
13941021,258.43,262,252,256,12979022
13941022,253.44,256,246,249.09,17364931
13941023,246.91,256,244,249.86,13424966
13941026,255.61,256,244,247.68,17400633
13941027,249.47,249,235,239.24,24315052
13941028,232.97,237,227,230.28,18873981
13941029,232.2,239,228,232.2,17020932
13941030,227.72,244,222,237.57,18559092
13941103,247.94,249,241,247.55,19705828
13941104,249.47,260,248,257.15,26763801
13941105,267.25,270,262,269.05,39859198
13941106,263.67,272,256,262.27,43429891
13941107,255.87,261,249,251.13,21366916
13941110,252.16,260,246,253.18,8196841
13941111,251.77,252,242,243.84,14139144
13941112,246.91,256,244,250.11,22958788
13941113,262.52,263,256,262.52,54029536
13941114,275.57,276,276,275.57,10389202
13941117,289.26,289,289,289.26,820927
13941118,303.72,304,304,303.72,1564618
13941119,318.81,319,319,318.81,1881475
13941120,334.68,335,321,334.42,52738459
13941121,347.98,351,339,349.64,57271641
13941124,367.04,367,367,367.04,401575
13941125,385.34,385,385,385.34,14977147
13941126,404.53,405,394,402.99,155762410
13941127,411.82,423,404,418.86,90050264
13941128,415.91,427,404,414.25,44997262
13941201,417.07,435,400,425.38,53948801
13941202,424.74,447,407,434.85,38311558
13941203,456.47,456,442,455.06,61682934
13941204,456.21,471,435,454.17,48503638
13941205,450.33,458,436,445.59,22819493
13941219,342.86,343,315,328.92,75057357
13941226,312.54,313,313,312.54,1463477
13950107,296.94,328,297,313.57,33708168
13950108,327.51,329,317,327.51,23528952
13950109,332.63,339,322,333.4,17142740
13950110,326.23,331,317,318.04,17493967
13950111,316,333,311,325.72,26857608
13950114,332.12,341,326,335.06,18637940
13950115,335.32,337,320,326.74,13025003
13950116,340.94,343,336,342.86,75552788
13950117,345.42,350,331,338.64,26049791
13950118,336.47,354,331,345.29,53971431
13950121,345.42,362,343,358.09,54297072
13950122,362.05,370,349,357.7,35529419
13950123,354.25,354,340,344.53,19905859
13950124,337.75,344,327,333.27,25913149
13950125,320.86,325,317,318.43,9500705
13950128,309.6,316,303,305.63,7947781
13950129,290.41,303,290,293.86,48761924
13950130,308.45,308,308,308.45,3612825
13950131,323.8,324,310,322.65,40570081
13950201,331.48,339,327,335.57,40288367
13950204,336.34,340,324,330.84,12404982
13950205,319.96,339,320,328.54,18554260
13950206,339.03,345,336,344.02,37686390
13950207,345.17,361,338,358.6,73721764
13950208,364.61,369,349,360.77,46757531
13950211,358.22,364,343,354.63,27584132
13950212,346.83,354,337,339.15,30745412
13950213,338.77,356,329,353.99,63818471
13950214,358.6,365,352,357.7,25394675
13950215,357.96,360,348,354.12,11202384
13950218,351.82,360,340,347.34,17044481
13950219,341.58,349,336,340.94,12431429
13950220,340.69,347,333,339.54,8399740
13950221,343.89,356,326,346.83,44756692
13950222,364.1,364,349,361.54,132353476
13950225,377.41,380,376,379.32,81650926
13950226,398.26,398,388,397.36,153791361
13950227,387.64,402,378,389.82,71317068
13950228,383.93,409,384,402.61,125509368
13950229,402.86,411,392,403.25,40928333
13950301,403.5,415,399,406.83,20210871
13950303,402.99,412,400,406.32,24520330
13950304,406.83,407,391,397.11,19615286
13950305,392.76,402,381,389.3,26385606
13950308,382.52,403,383,395.19,22615665
13950309,396.6,406,387,394.17,12716862
13950310,399.15,412,391,402.61,37043211
13950311,402.99,405,391,395.32,10497790
13950312,391.86,398,390,394.04,12688139
13950316,402.99,407,397,401.2,16579541
13950317,396.6,400,386,391.61,20285409
13950318,388.41,402,386,393.27,31961740
13950319,390.58,394,382,384.95,18429832
13950322,383.8,384,366,368.45,16580782
13950323,356.94,359,350,351.82,47499748
13950324,356.81,361,339,349.77,17417828
13950329,345.29,352,334,340.18,11277903
13950330,338.9,343,323,330.58,8782078
13950331,317.66,322,314,315.23,35025960
13950401,314.21,331,307,322.27,23251354
13950402,330.97,338,326,336.34,9818337
13950405,332.63,338,320,322.65,16971117
13950406,313.44,339,312,330.45,31262335
13950408,346.96,347,345,346.96,6490954
13950409,348.24,363,336,351.44,35388367
13950412,351.69,362,342,350.03,13069035
13950413,345.42,356,342,348.24,10635615
13950414,344.14,357,340,348.36,15194202
13950415,353.1,358,346,352.33,11317876
13950419,349.26,349,335,337.87,8223166
13950420,330.07,336,321,325.21,17567984
13950421,317.28,324,309,314.85,22448688
13950422,313.31,325,307,314.46,16098324
13950423,314.08,319,306,314.85,10617933
13950426,313.31,326,313,320.99,9570251
13950427,321.24,328,313,320.35,15604523
13950428,316,317,308,309.73,12560321
13950504,325.34,330,312,320.6,15015817
13950505,317.02,320,312,316,7908826
13950506,314.59,325,313,317.92,11072378
13950510,319.58,320,310,314.33,7984556
13950511,313.44,318,308,312.42,7591439
13950512,314.46,328,313,322.65,23852395
13950513,322.39,332,317,321.5,14340186
13950516,319.71,337,315,330.97,45647479
13950517,337.75,345,330,336.85,14164141
13950518,331.22,334,322,328.54,10027786
13950519,326.23,341,326,336.08,15249461
13950520,340.43,345,336,339.92,10382540
13950523,334.8,341,329,334.93,11052779
13950524,340.3,342,330,334.68,8905363
13950525,329.81,339,328,334.8,12354320
13950526,330.97,344,330,338.9,25494035
13950527,339.28,339,328,334.8,15714430
13950530,330.71,335,325,330.07,8034435
13950531,325.21,334,321,326.49,20789910
13950601,326.23,331,322,326.36,8699177
13950602,324.06,329,321,323.42,3837303
13950603,320.73,325,319,320.48,6421171
13950606,336.47,336,334,336.47,37610404
13950607,340.3,343,328,336.08,19422685
13950608,327.64,333,328,330.33,6417214
13950609,330.07,330,320,325.46,4760037
13950610,322.52,325,316,318.94,7091202
13950613,317.92,326,314,319.84,4269997
13950614,319.84,320,313,314.59,5660738
13950615,314.21,319,313,315.23,5219588
13950616,316.89,324,316,318.04,9922375
13950617,319.71,323,314,317.02,7915212
13950620,313.69,315,310,311.26,6041822
13950621,310.88,313,308,310.24,7125979
13950623,309.09,312,298,303.08,12192585
13950624,301.92,317,299,311.65,14567013
13950627,318.56,327,317,323.16,18206655
13950628,329.56,336,327,330.97,14096453
13950629,330.84,336,326,330.2,10750102
13950631,333.91,347,331,342.48,60649576
13950703,341.71,354,338,344.14,23875167
13950704,338.13,343,333,337.62,15766937
13950705,336.59,344,336,339.54,11825536
13950706,342.22,345,338,340.94,13174418
13950707,342.86,355,339,348.75,21159296
13950710,356.94,361,348,353.48,13068934
13950711,351.69,352,344,347.34,10729110
13950712,349.13,352,343,346.19,13087483
13950713,345.42,349,339,344.65,13777850
13950714,345.17,345,337,338.9,10682087
13950717,336.59,351,336,345.17,15723285
13950718,346.7,354,346,351.31,12070713
13950719,352.59,363,349,357.7,19915759
13950724,364.36,364,351,356.68,10426190
13950725,354.12,357,345,347.09,9390411
13950726,349,358,347,352.07,13961177
13950727,354.38,358,351,353.61,5715503
13950728,357.96,358,349,352.71,7710776
13950801,351.82,352,342,345.81,11040265
13950802,345.42,358,343,352.59,16095672
13950803,355.4,355,347,352.07,7997255
13950804,351.82,370,352,368.19,35381353
13950805,382.4,384,372,378.05,60152214
13950808,383.16,391,375,383.55,26055632
13950809,377.28,377,366,370.88,15371969
13950810,367.17,372,363,365.64,15081992
13950811,364.74,376,365,368.45,10929534
13950812,369.73,371,362,367.43,12198948
13950815,373.44,379,365,371.27,19386026
13950816,365.89,370,353,356.3,21542289
13950817,349.13,357,347,352.59,12219054
13950818,353.48,363,353,358.22,11406902
13950819,341.71,351,340,342.86,24547174
13950822,351.82,359,349,353.35,19369783
13950823,350.92,358,349,350.92,8565864
13950824,350.41,353,347,350.16,9884573
13950825,355.78,365,352,357.32,21177529
13950826,364.61,372,360,364.48,21635202
13950829,356.94,359,353,355.27,9946533
13950901,357.45,357,349,352.84,6661333
13950902,356.17,368,353,359.24,11006063
13950903,364.48,364,355,359.62,8708871
13950906,359.5,363,356,359.5,6614120
13950907,361.93,362,355,356.42,3325951
13950909,355.66,356,349,351.69,8423401
13950913,349.26,349,335,340.56,10639583
13950914,349.26,352,343,346.06,11066533
13950915,339.03,346,335,339.41,9750906
13950916,340.94,345,336,339.92,7996090
13950917,340.05,343,338,339.28,7993748
13950920,341.46,347,336,339.92,8492579
13950921,342.86,343,333,335.83,4744851
13950922,337.75,338,328,333.27,7501811
13950923,331.48,333,321,326.36,7383323
13950924,325.72,343,324,337.49,25827975
13950928,345.93,352,342,345.81,13039764
13950929,345.04,348,336,341.33,6424139
13950930,339.03,340,329,332.5,6518037
13951001,332.63,347,333,340.82,6267270
13951004,343.5,348,334,342.61,5277607
13951005,339.03,344,335,338.77,7819390
13951006,344.14,345,335,339.92,5288837
13951007,338,340,329,332.76,5629839
13951008,339.15,345,339,342.99,10482951
13951011,344.14,347,340,343.25,5499665
13951012,340.3,342,336,338.39,3154420
13951013,336.59,342,333,334.93,5340247
13951014,340.3,342,333,337.23,4821743
13951015,336.47,343,335,339.03,9454316
13951018,340.56,345,340,342.74,11356300
13951019,344.91,360,342,355.53,21424344
13951020,358.22,363,352,357.45,12045592
13951022,357.45,357,347,351.31,7816806
13960126,466.66,513,459,475.83,573584004
13960127,467.2,467,452,454.79,61597201
13960128,432.13,472,432,450.47,340623482
13960129,463.96,472,453,465.58,152442714
13960130,469.36,469,447,453.17,130770151
13960202,453.17,462,445,451.01,112438121
13960203,448.86,449,434,436.99,101303547
13960204,440.22,447,433,441.3,44972690
13960206,443.46,443,433,435.37,66364869
13960209,436.99,437,424,429.43,86381496
13960210,431.05,450,425,444.54,62376274
13960211,460.19,464,445,454.25,79413650
13960212,451.55,452,434,439.68,55766294
13960213,442.38,448,432,436.45,45820412
13960216,444,446,434,439.68,51622027
13960217,446.7,453,437,444.54,50460825
13960218,445.08,445,435,438.61,40296626
13960219,437.53,445,432,435.91,48911278
13960220,442.38,446,438,440.76,36187374
13960223,441.3,442,432,435.37,42110841
13960224,436.45,438,427,430.51,35889883
13960225,431.05,433,426,428.9,26371879
13960226,431.05,437,428,431.59,28363379
13960227,432.67,434,429,431.05,38043355
13960230,437.53,443,432,435.91,41168350
13960231,435.37,435,428,429.97,31985042
13960301,431.59,447,430,439.15,48360105
13960302,439.68,440,434,435.37,23536746
13960303,435.91,443,435,439.68,38071426
13960306,441.3,442,434,437.53,36687312
13960307,434.29,439,426,431.05,46586392
13960308,429.43,434,426,428.9,23255478
13960309,429.43,431,419,421.88,40164523
13960310,426.74,430,419,421.88,30641650
13960313,421.88,424,412,414.87,37471692
13960316,415.95,416,402,406.78,44023488
13960317,399.22,407,387,392.21,76674854
13960320,399.22,400,388,393.83,23172981
13960321,390.59,391,376,380.88,37961428
13960322,382.5,382,370,373.87,26228674
13960323,372.25,392,365,381.96,52272177
13960324,396.53,401,390,398.68,26625118
13960327,413.79,414,399,405.7,35170751
13960328,401.38,401,386,389.51,19602800
13960329,387.89,388,378,381.42,15590305
13960330,378.72,393,378,382.5,16391645
13960331,386.81,387,380,381.96,22412152
13960403,378.72,392,379,385.74,23809648
13960404,386.81,393,385,387.35,23129859
13960407,386.28,391,378,384.12,24433105
13960410,380.88,387,378,381.42,15661215
13960411,380.34,381,371,373.87,21705474
13960412,376.03,392,368,381.96,41783637
13960413,383.04,384,373,376.03,20344812
13960414,376.03,381,372,377.1,25656175
13960417,377.64,378,370,373.33,23945748
13960418,370.63,378,370,372.25,28299890
13960419,377.64,391,378,388.97,90623663
13960420,395.45,400,384,390.05,26317311
13960421,387.89,405,388,399.76,92549507
13960424,405.7,415,406,411.63,75921183
13960425,415.41,423,410,415.41,132199041
13960510,436.99,437,416,425.66,115443940
13960511,417.57,429,413,422.96,66146583
13960515,422.96,429,416,419.72,24420335
13960516,418.11,419,405,410.01,46704434
13960517,419.18,431,412,426.2,68674503
13960518,438.07,443,432,437.53,55873905
13960521,433.75,442,426,433.21,42768861
13960522,427.82,435,422,427.82,22553879
13960523,426.2,431,421,426.74,26035259
13960524,422.42,432,422,428.36,36347309
13960525,426.74,440,424,434.29,52456539
13960528,438.07,447,435,442.92,47966010
13960529,442.92,448,436,441.3,34313335
13960530,442.38,454,442,451.01,48397702
13960531,453.17,458,445,449.4,34111708
13960601,447.78,452,445,449.4,57104304
13960604,452.63,458,449,453.71,43990692
13960605,454.79,456,448,450.47,34532536
13960606,450.47,473,447,462.34,116621066
13960607,475.83,485,474,482.84,96947889
13960608,501.73,507,490,501.73,204196613
13960611,488.24,518,488,502.81,55164329
13960612,500.65,506,488,491.48,46109233
13960613,488.24,491,476,484.46,39751759
13960614,485.54,500,473,485.54,69255535
13960615,480.15,483,468,472.59,30456181
13960619,463.96,475,454,463.42,44792649
13960620,453.71,463,450,456.95,23390394
13960621,458.57,478,454,468.82,46498618
13960622,479.61,490,478,481.77,39887815
13960625,485.54,487,475,481.77,23357793
13960626,477.45,486,477,481.23,29749413
13960627,482.84,496,481,491.48,32459466
13960628,493.63,511,494,503.34,51969358
13960629,501.73,502,486,492.02,23373182
13960705,504.96,509,494,502.81,54990958
13960710,490.4,490,478,480.15,87064304
13960711,468.82,473,456,460.73,49391784
13960712,459.65,475,460,467.74,22953663
13960715,467.74,468,445,447.78,45950395
13960716,445.08,445,426,427.82,60093715
13960717,431.59,446,425,434.29,33751536
13960718,434.83,441,431,434.29,16005474
13960719,431.05,437,424,431.05,21871324
13960722,436.99,448,431,435.91,75769947
13960723,432.67,437,426,428.9,37220358
13960724,426.74,440,427,432.67,23347008
13960725,431.05,436,429,431.59,31299096
13960726,435.37,443,432,436.99,38925304
13960729,444.54,459,445,456.95,93085669
13960730,463.42,474,454,462.34,44805113
13960801,461.26,463,447,452.63,32773258
13960802,455.33,455,447,449.94,18312780
13960803,447.24,458,447,451.01,23087897
13960806,449.4,453,439,442.92,30637363
13960807,443.46,445,432,435.91,37296446
13960808,428.9,434,424,428.9,42860546
13960809,434.29,445,432,437.53,33384787
13960810,437.53,442,431,433.75,30736823
13960813,428.9,432,422,427.82,59446189
13960814,431.59,433,425,428.36,85987266
13960815,427.82,431,424,425.66,28005007
13960816,424.04,425,416,419.72,36057566
13960817,421.34,428,414,419.72,25292458
13960820,425.66,429,420,423.5,24458505
13960821,425.12,428,418,420.8,20887745
13960822,419.18,427,419,422.42,22325392
13960823,426.2,428,420,422.42,15573148
13960824,420.8,424,419,420.8,18646830
13960827,423.5,424,413,416.49,23838449
13960829,419.18,424,413,417.57,20112350
13960830,415.41,421,412,414.33,28165401
13960901,411.63,429,412,420.8,34386568
13960904,427.28,442,427,439.68,89986702
13960905,445.08,455,438,443.46,37915150
13960907,432.67,445,429,434.29,43768829
13960908,429.97,436,426,428.36,22969307
13960911,427.28,436,425,428.36,27248738
13960912,433.75,442,426,431.59,28570589
13960913,426.74,432,425,426.74,19954741
13960914,424.58,432,424,426.74,25210033
13960918,428.9,430,421,424.58,25985225
13960919,424.04,429,421,422.96,23034855
13960920,426.2,444,422,441.84,222689205
13960921,463.42,463,463,463.42,8644348
13960922,486.08,486,466,481.77,460750068
13960925,490.94,493,475,482.3,98182210
13960926,481.23,504,481,492.56,103780552
13960927,492.56,517,493,508.2,161861470
13960928,523.31,530,510,521.15,114686578
13960929,518.99,524,506,514.13,95349550
13961002,523.31,523,489,499.03,163975253
13961003,484.46,485,474,476.91,84392877
13961004,465.04,488,465,475.29,92171126
13961005,475.83,481,458,463.42,68587260
13961006,463.96,464,455,458.57,48138975
13961009,447.78,448,436,439.68,87084516
13961010,431.59,436,418,422.96,139126060
13961011,427.82,444,427,439.68,23514532
13961012,454.25,461,448,456.95,131462184
13961013,458.03,458,441,447.24,36693575
13961016,445.08,457,445,449.94,17976077
13961017,453.17,472,451,470.98,135215311
13961018,480.15,487,470,477.45,76116882
13961019,466.66,474,459,461.8,38752476
13961020,458.57,481,453,469.36,53710431
13961023,469.36,484,464,471.51,32792384
13961024,469.36,471,460,463.42,31409066
13961025,462.88,470,454,460.19,33167868
13961026,462.88,463,447,451.55,37223533
13961027,459.65,468,453,456.95,45404494
13961030,461.26,461,446,448.32,42601876
13961101,444,457,440,447.78,29153177
13961102,447.78,465,448,456.95,31094216
13961103,454.79,463,450,454.25,20883211
13961104,454.25,454,448,449.4,33268477
13961107,452.09,452,443,445.08,27801764
13961108,450.47,450,443,446.16,21148428
13961109,447.78,453,445,447.78,29553941
13961110,448.86,456,446,448.32,20760117
13961121,463.42,465,444,460.73,24650102
13961123,462.34,463,453,457.49,37995165
13961124,459.11,477,456,465.04,47767559
13961125,470.44,474,454,461.26,49509493
13961128,463.42,484,453,481.23,263729650
13961129,485.54,486,463,469.9,60879708
13961130,465.58,466,454,458.57,28277404
13961202,453.17,453,447,449.94,39304056
13961205,454.79,470,449,459.65,33467304
13961206,459.11,463,456,458.57,20174322
13961207,455.33,461,453,454.79,23066823
13961208,455.87,460,454,456.41,26803740
13961209,456.41,459,451,453.17,40936922
13961212,453.17,455,445,447.24,44085933
13961213,445.62,460,446,454.25,26356917
13961214,452.63,460,449,453.71,25788035
13961215,453.17,474,453,463.96,80311216
13961216,473.67,475,456,467.74,75382503
13961219,457.49,463,447,451.01,33635527
13961220,452.09,452,439,443.46,38335119
13961221,440.22,448,440,445.08,15472714
13961222,441.3,448,435,439.15,31046807
13961223,439.68,442,437,438.61,23873121
13961226,435.91,447,435,438.61,25113940
13961227,436.99,447,437,445.08,73609145
13961228,445.08,457,445,453.17,15860386
13970105,451.55,455,448,451.55,5837478
13970106,448.86,452,445,449.4,14106556
13970107,447.78,453,445,447.24,9313941
13970108,445.08,454,445,448.86,12293402
13970114,458.57,471,459,465.58,34709978
13970115,463.96,464,456,459.11,11929407
13970118,460.73,461,446,448.86,13134057
13970119,442.92,452,437,440.76,35401278
13970120,437.53,447,438,444,35719841
13970121,443.46,444,438,439.68,21208380
13970122,438.61,445,422,427.82,89727405
13970126,425.66,434,407,410.55,99669287
13970127,404.62,416,398,410.55,23648235
13970128,407.32,417,399,404.08,31216403
13970129,405.7,411,401,402.46,68261062
13970201,401.92,410,397,401.92,33553554
13970202,398.14,402,387,392.21,32437622
13970203,388.43,394,384,386.81,37056175
13970204,390.05,406,387,401.92,41439376
13970205,405.16,410,399,403.54,20033847
13970208,392.21,396,384,385.74,47112613
13970209,378.72,388,372,379.8,29525254
13970210,371.17,382,371,376.03,27699024
13970211,376.03,388,373,381.42,19172409
13970215,380.34,387,376,378.72,16920577
13970216,382.5,391,373,381.96,30339726
13970217,378.72,394,379,390.05,22110058
13970218,393.83,401,388,393.29,22549716
13970219,392.75,393,374,385.2,64427325
13970222,378.72,391,379,386.28,22846528
13970223,388.97,405,388,403.54,57054541
13970224,408.93,424,409,420.8,82445489
13970225,422.96,433,410,420.8,39056036
13970226,407.85,416,408,411.63,31146788
13970229,410.01,426,409,418.64,34218258
13970230,421.88,429,416,422.96,40001652
13970231,425.12,425,413,417.57,21648759
13970301,412.17,420,407,411.09,28523980
13970302,412.71,432,413,429.97,63857163
13970305,451.01,451,451,451.01,22247260
13970306,458.03,469,450,457.49,148851975
13970307,453.17,454,438,442.38,49621998
13970308,436.99,453,435,443.46,13928042
13970309,460.19,480,453,461.26,64647803
13970312,454.79,472,454,461.26,46720049
13970313,454.79,459,450,454.79,27210142
13970319,451.55,459,438,443.46,26946321
13970320,442.38,466,439,458.03,341248879
13970321,470.44,481,468,478.53,280469356
13970322,495.79,502,487,499.57,196623426
13970323,524.38,550,524,543.27,30768075
13970327,570.24,570,570,570.24,136360041
13970328,598.3,598,573,594.52,535811916
13970329,583.73,624,572,608.01,189704566
13970330,638.22,638,638,638.22,22593705
13970402,670.05,670,670,670.05,7584103
13970403,703.5,739,703,736.4,15094736
13970404,773.09,773,761,773.09,574545854
13970405,754.75,769,735,740.18,405199357
13970406,703.5,723,668,679.22,387411287
13970409,712.67,713,691,708.89,286144749
13970410,696.48,697,674,675.44,142379039
13970411,674.36,707,643,674.9,205774402
13970412,693.25,708,688,706.19,171317925
13970413,728.85,741,691,719.68,197152408
13970416,695.94,719,684,691.09,152784831
13970417,675.44,695,675,686.23,49281732
13970419,674.9,712,674,687.31,60546041
13970420,677.06,695,653,665.73,140284393
13970502,647.93,672,636,645.23,62740295
13970503,655.48,688,639,665.73,97354908
13970506,698.64,699,699,698.64,12303960
13970507,733.17,733,713,731.55,263820087
13970508,752.05,768,744,762.3,90657501
13970509,800.06,800,800,800.06,1790240
13970510,839.99,882,798,823.26,354953613
13970513,803.84,847,783,811.93,178710274
13970514,836.21,852,828,851.32,296942195
13970515,893.4,893,890,893.4,211243246
13970516,900.95,938,889,925.23,403518816
13970517,944.11,966,897,936.56,206162262
13970520,964.61,983,951,974.86,110750314
13970521,984.03,1020,935,975.4,168560730
13970522,959.75,960,927,928.46,169195229
13970523,900.95,968,894,928.46,262984858
13970524,917.67,935,901,910.12,90500232
13970527,900.95,909,870,886.92,125814173
13970528,927.92,931,912,930.62,173980189
13970529,965.69,977,955,971.62,138640294
13970530,971.62,1004,933,979.72,143090350
13970603,992.12,1017,959,977.56,88109954
13970604,962.45,1025,939,996.44,153936634
13970605,1024.49,1046,1020,1042.3,148477344
13970606,1068.19,1078,991,1032.59,199643971
13970607,1046.61,1064,1025,1046.07,83258893
13970610,1030.43,1055,1003,1021.8,83511373
13970611,1003.99,1009,971,974.86,120625998
13970612,981.87,1023,961,1007.23,112132575
13970613,1041.22,1057,1026,1046.61,95953414
13970614,1052.01,1054,1022,1036.9,80737308
13970617,1052.01,1089,1044,1080.06,107292688
13970618,1134.01,1134,1128,1134.01,34682285
13970619,1190.66,1191,1176,1190.66,76919068
13970620,1250,1250,1199,1237.59,166669441
13970621,1299.09,1364,1299,1363.29,39638814
13970624,1431.27,1431,1312,1386.49,239880651
13970625,1354.12,1381,1317,1342.79,163197500
13970626,1401.06,1409,1343,1384.87,182774412
13970627,1374.08,1392,1323,1355.2,109734780
13970631,1375.7,1419,1370,1395.66,96652302
13970701,1413.47,1465,1413,1460.94,68138908
13970702,1533.77,1534,1534,1533.77,37935833
13970703,1610.38,1610,1610,1610.38,22150017
13970704,1690.76,1691,1691,1690.76,8961083
13970707,1774.92,1863,1775,1855.85,224306199
13970708,1948.64,1949,1949,1948.64,41402282
13970709,2045.75,2046,2046,2045.75,6950834
13970714,2147.71,2148,2040,2095.92,72851064
13970715,1991.26,1991,1991,1991.26,44613632
13970716,1891.99,1892,1892,1891.99,13858218
13970717,1797.58,1952,1798,1830.49,550695159
13970718,1739.32,1775,1739,1740.4,86677768
13970721,1653.54,1654,1654,1653.54,1808016
13970722,1571,1571,1493,1494.39,442664807
13970723,1537.55,1569,1521,1563.98,185562457
13970724,1617.39,1618,1486,1555.35,202330861
13970725,1477.67,1502,1478,1479.82,185289021
13970728,1510.57,1554,1511,1545.1,118099958
13970729,1596.89,1597,1548,1564.52,107275040
13970730,1548.34,1548,1486,1492.23,119898436
13970801,1505.18,1505,1418,1431.81,43105749
13970802,1360.6,1361,1361,1360.6,11628668
13970805,1292.62,1293,1293,1292.62,15833748
13970806,1228.42,1228,1228,1228.42,4749892
13970807,1289.38,1351,1227,1291.54,161897311
13970809,1342.79,1356,1292,1341.71,84173440
13970812,1375.7,1408,1333,1370.31,84836153
13970813,1359.52,1397,1302,1318.52,101763615
13970814,1301.79,1380,1284,1347.11,68609308
13970815,1348.73,1414,1349,1412.39,161712364
13970819,1457.16,1483,1426,1470.65,125489306
13970820,1532.15,1544,1505,1540.79,160214447
13970821,1616.31,1616,1591,1614.7,17618250
13970822,1695.08,1753,1610,1667.57,166174232
13970823,1584.48,1584,1584,1584.48,35012347
13970826,1505.72,1548,1506,1510.57,149422088
13970827,1510.57,1553,1435,1451.23,164108483
13970828,1450.15,1490,1403,1459.86,73132915
13970829,1446.91,1500,1419,1450.69,133690747
13970911,1638,1639,1557,1579,276890461
13970912,1638,1657,1611,1654,153175000
13970913,1736,1736,1660,1724,218034863
13970914,1781,1810,1748,1802,191478485
13970917,1885,1892,1825,1884,83909648
13970918,1978,1978,1820,1909,331034933
13970919,1983,2082,1956,2035,255638040
